study_accession	fetch_status	n_samples	children
PRJEB58157	OK	277	
PRJNA974556	OK	52	
PRJNA883557	OK	20	
PRJNA1199800	OK	30	
PRJNA400072	OK	220	
PRJNA792486	OK	45	
PRJDB36557	OK	7	
PRJEB33338	OK	25	
PRJNA416199	OK	12	
PRJEB46788	OK	2750	
PRJNA312048	OK	6	
PRJNA627251	OK	16	
PRJDB7630	OK	40	
PRJNA663646	OK	20	
PRJEB81807	OK	8	
PRJEB74236	OK	118	
PRJNA757579	OK	162	
PRJEB108722	OK	80	
PRJNA340908	OK	29	
PRJNA660549	OK	12	
PRJEB21827	OK	12	
PRJNA690892	OK	13	
PRJNA601807	OK	10	
PRJEB75763	OK	3	
PRJNA997718	OK	13	
PRJNA925857	OK	226	
PRJEB86261	OK	1128	
PRJEB34992	OK	144	
PRJNA1225188	OK	63	
PRJNA961946	OK	29	
PRJDB4525	OK	36	
PRJNA1090271	OK	86	
PRJNA726842	OK	7	
PRJNA847753	OK	8	
PRJNA852373	OK	5	
PRJNA401977	OK	145	
PRJEB79352	OK	240	
PRJNA1228986	OK	34	
PRJEB21612	OK	117	
PRJNA1268758	OK	24	
PRJEB66719	OK	306	
PRJNA1214037	OK	144	
PRJNA431482	OK	76	
PRJNA1141889	OK	10	
PRJNA986525	OK	17	
PRJEB36943	OK	90	
PRJNA1023249	OK	3	
PRJNA1036376	OK	70	
PRJEB41786	OK	150	
PRJNA902000	OK	236	
PRJNA825132	OK	3	
PRJNA779106	OK	236	
PRJNA358755	OK	207	
PRJEB41323	OK	210	
PRJNA678871	OK	152	
PRJNA806371	OK	5	
PRJNA972320	OK	320	
PRJNA574851	OK	10	
PRJEB11755	OK	295	
PRJNA294605	OK	11	
PRJNA298736	OK	13	
PRJEB37572	OK	86	
PRJNA1293880	OK	29	
PRJDB36334	OK	114	
PRJNA699146	OK	48	
PRJNA855286	OK	30	
PRJNA1293833	OK	39	
PRJNA1298367	OK	104	
PRJEB39685	OK	132	
PRJEB102366	OK	72	
PRJNA1269114	OK	13	
PRJDB16790	OK	428	
PRJNA494824	OK	71	
PRJNA763692	OK	1859	
PRJNA624223	OK	73	
PRJNA598094	OK	40	
PRJNA919082	OK	64	
PRJDB7378	OK	50	
PRJNA1091038	OK	15	
PRJNA415307	OK	9	
PRJEB6070	OK	424	
PRJNA825732	OK	50	
PRJEB60740	OK	3365	
PRJDB20772	OK	8	
PRJNA855128	OK	26	
PRJNA374522	OK	8	
PRJNA1280790	OK	24	
PRJNA880353	OK	86	
PRJNA1030990	OK	28	
PRJNA1078999	OK	194	
PRJNA981100	OK	48	
PRJEB27928	OK	82	
PRJNA496479	OK	40	
PRJNA589661	OK	9	
PRJEB18627	OK	18	
PRJEB76898	OK	940	
PRJNA1171501	OK	22	
PRJEB82952	OK	72	
PRJNA628114	OK	42	
PRJNA658643	OK	9	
PRJNA646934	OK	14	
PRJNA255875	OK	16	
PRJNA788462	OK	216	
PRJNA656000	OK	6	
PRJEB30661	OK	2	
PRJNA847006	OK	60	
PRJNA801645	OK	12	
PRJEB32790	OK	280	
PRJEB40424	OK	323	
PRJDB36191	OK	20	
PRJNA741822	OK	123	
PRJNA1389899	OK	18	
PRJNA1273701	OK	36	
PRJEB101827	OK	120	
PRJNA899060	OK	57	
PRJNA825121	OK	3	
PRJNA506751	OK	1	
PRJNA1356556	OK	28	
PRJNA1006089	OK	169	
PRJNA794972	OK	1	
PRJNA613834	OK	76	
PRJNA1088536	OK	112	
PRJNA384716	OK	96	
PRJNA892774	OK	26	
PRJDB16312	OK	30	
PRJNA844935	OK	16	
PRJNA563204	OK	192	
PRJNA665253	OK	191	
PRJDB4176	OK	645	
PRJNA1332145	OK	112	
PRJNA788958	OK	135	
PRJEB42282	OK	128	
PRJEB57228	OK	44	
PRJNA937780	OK	22	
PRJDB33192	OK	51	
PRJNA373834	OK	22	
PRJEB47613	OK	47	
PRJNA942468	OK	517	
PRJNA1301039	OK	48	
PRJNA1073587	OK	6	
PRJEB33219	OK	53	
PRJNA1099794	OK	56	
PRJNA417359	OK	495	
PRJEB53667	OK	48	
PRJNA769425	OK	18	
PRJNA622417	OK	4	
PRJNA612780	OK	26	
PRJEB32644	OK	616	
PRJNA63661	OK	1569	
PRJNA1245445	OK	144	
PRJEB101774	OK	79	
PRJEB22175	OK	96	
PRJNA1123460	OK	24	
PRJNA1171181	OK	8	
PRJNA1116530	OK	15	
PRJDB37508	OK	470	
PRJNA1017798	OK	24	
PRJNA597688	OK	2	
PRJNA801914	OK	24	
PRJNA1428229	OK	18	
PRJEB62607	OK	25	
PRJNA835973	OK	19	
PRJDB17048	OK	71	
PRJDB15798	OK	60	
PRJNA1090561	OK	21	
PRJEB58787	OK	204	
PRJNA853153	OK	12	
PRJEB47609	OK	179	
PRJNA662107	OK	522	
PRJNA1028770	OK	16	
PRJNA990717	OK	12	
PRJNA672868	OK	5	
PRJEB47976	OK	175	
PRJNA327106	OK	45	
PRJNA1257558	OK	68	
PRJNA1282711	OK	45	
PRJEB50613	OK	62	
PRJNA987743	OK	104	
PRJNA1206810	OK	9	
